experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
building_albedo_035,1,Jade Gardens,refuge,19,20,-1,0.0,0.0,0.0,7,7,31.21937334100189,36.87027317887154,46.31206641197155,103.77119963679361,163.4702178385975,62.50648477415696
building_albedo_035,2,Serendib Rise,refuge,17,17,0,0.0,0.0,0.0,7,7,31.278687124326982,36.77014444760352,46.028199005149844,104.3363539586547,162.79169799637293,61.54667801689304
building_albedo_035,3,Taman Melati,refuge,19,21,-2,0.0,0.0,0.0,7,7,31.223685500589667,36.91290760954032,46.34964463249779,104.08209138506967,162.63014565298616,61.31794261974332
building_albedo_035,4,Kampong Lama,hotspot,99,103,-4,0.7607011027520482,0.756598480591236,0.004102622160812142,3,3,31.86166619958882,39.17520864165426,147.7338106659566,135.14167671500243,159.85974166008182,68.00466032927407
building_albedo_035,5,Dhobi Lines,hotspot,91,96,-5,0.7263595381825572,0.7267303878603549,-0.0003708496777977688,4,4,31.84074984665256,39.09551531726463,147.97601150191537,135.33926695176336,158.89042759976104,66.59555519623363
building_albedo_035,6,Lusitano Square,core,32,35,-3,0.18024875845428073,0.1875092010551888,-0.007260442600908079,6,6,31.500598695969614,37.5472367354693,81.2817672111835,117.60776768837948,158.65284010189916,63.46009705813259
building_albedo_035,7,Mlima Moto,hotspot,118,126,-8,0.829566596162393,0.8329958739496157,-0.0034292777872226843,2,2,31.973204316536886,40.0013930801557,149.8120018429265,135.7875346466839,153.39764792460983,58.81851748515075
building_albedo_035,8,Victoria Exchange,core,50,55,-5,0.20043482507607896,0.2056614781991592,-0.005226653123080238,5,5,31.589813278132482,38.22489831535046,82.64376731186942,118.01828849585718,154.12937448706876,57.16411053513858
building_albedo_035,9,Fuzhou Lanes,hotspot,199,211,-12,1.0,1.0,0.0,1,1,32.26973866107884,41.27569795999731,150.02073595449897,135.6973428700321,153.07454323783622,58.37687046345647
building_albedo_035,10,Zheng He Towers,core,60,65,-5,0.0,0.0,0.0,7,7,31.66149894763671,38.342338116798196,83.39333784232291,118.36899172443758,150.89832761933278,52.83278990836867
