experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
evetr_irrigation_fraction_100,1,Jade Gardens,refuge,20,20,0,0.0,0.0,0.0,7,7,31.221005819606685,36.88810959354613,46.66318129368444,104.06425875152935,164.98880986643343,63.38090280554428
evetr_irrigation_fraction_100,2,Serendib Rise,refuge,17,17,0,0.0,0.0,0.0,7,7,31.280194418535608,36.79530779591355,46.553045442212785,104.75363453428123,164.98880986643343,62.80166287426406
evetr_irrigation_fraction_100,3,Taman Melati,refuge,21,21,0,0.0,0.0,0.0,7,7,31.22479785591834,36.94148711551203,46.914274029001916,104.53558759661173,164.98880986643343,62.65848122514441
evetr_irrigation_fraction_100,4,Kampong Lama,hotspot,103,103,0,0.756598480591236,0.756598480591236,0.0,3,3,31.86672999541166,39.29709947963311,149.12754151786567,135.3845883841049,164.38320727491222,70.89148342309298
evetr_irrigation_fraction_100,5,Dhobi Lines,hotspot,96,96,0,0.7267303878603549,0.7267303878603549,0.0,4,4,31.846441112549538,39.22937246569334,149.69642955827453,135.64037278446781,164.38320727491222,70.0668109823212
evetr_irrigation_fraction_100,6,Lusitano Square,core,35,35,0,0.18750920105518884,0.1875092010551888,2.7755575615628914e-17,6,6,31.50797616191835,37.62571682898105,83.45938258966105,117.98889807502424,165.11493383737115,67.36344502848232
evetr_irrigation_fraction_100,7,Mlima Moto,hotspot,126,126,0,0.8329958739496157,0.8329958739496157,0.0,2,2,31.990677046480315,40.398668523872644,153.5974027067272,136.44810132572354,164.38320727491222,65.35810929261282
evetr_irrigation_fraction_100,8,Victoria Exchange,core,55,55,0,0.20566147819915923,0.2056614781991592,2.7755575615628914e-17,5,5,31.604919908789153,38.372872994035866,86.61315824955014,118.71472590889722,165.11493383737115,63.48384153472023
evetr_irrigation_fraction_100,9,Fuzhou Lanes,hotspot,211,211,0,1.0,1.0,0.0,1,1,32.29554094935357,41.720280115042435,153.93816215302624,136.37702326158376,164.38320727491222,65.0884279104535
evetr_irrigation_fraction_100,10,Zheng He Towers,core,65,65,0,0.0,0.0,0.0,7,7,31.677940509304413,38.57290289202014,88.79062505886434,119.31826332065562,165.11493383737115,60.70283731364764
