experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
grass_5pp_from_paved,1,Jade Gardens,refuge,22,20,2,0.0,0.0,0.0,7,7,31.207413580394423,36.98197217748348,48.002704844107996,105.40841575834826,164.0749798132953,59.78339219516367
grass_5pp_from_paved,2,Serendib Rise,refuge,17,17,0,0.0,0.0,0.0,7,7,31.27018982934981,36.88557053196731,47.80269622306428,106.16838836885155,164.0749798132953,59.223428205704096
grass_5pp_from_paved,3,Taman Melati,refuge,23,21,2,0.0,0.0,0.0,7,7,31.208517822830345,37.036690609780834,48.201030129762565,105.91058103113154,164.0749798132953,59.08290163672582
grass_5pp_from_paved,4,Kampong Lama,hotspot,104,103,1,0.7531045701736829,0.756598480591236,-0.003493910417553092,3,3,31.869154482920976,39.50754749817985,150.88192810391263,136.36396707724552,163.4693772217741,67.24388809076727
grass_5pp_from_paved,5,Dhobi Lines,hotspot,98,96,2,0.7266225094824229,0.7267303878603549,-0.0001078783779320247,4,4,31.847175299878526,39.44519384507104,151.38151901926895,136.68445345868437,163.4693772217741,66.42381079397208
grass_5pp_from_paved,6,Lusitano Square,core,36,35,1,0.1893066338486204,0.1875092010551888,0.001797432793431586,6,6,31.495278851685725,37.65800198233994,85.23088544261054,118.90655153439968,164.20110378423306,63.76045866301919
grass_5pp_from_paved,7,Mlima Moto,hotspot,129,126,3,0.8334692398530034,0.8329958739496157,0.00047336590338764584,2,2,31.984917874822308,40.556222923013586,155.15630026816314,137.59364703696426,163.4693772217741,61.73983596679798
grass_5pp_from_paved,8,Victoria Exchange,core,57,55,2,0.2074410183338986,0.2056614781991592,0.0017795401347394102,5,5,31.590028482365533,38.41835511204096,88.30654712317904,119.69345470001379,164.20110378423303,59.89789381683662
grass_5pp_from_paved,9,Fuzhou Lanes,hotspot,216,211,5,1.0,1.0,0.0,1,1,32.29762810186618,41.88177015693363,155.56039646970098,137.4520000824997,163.4693772217741,61.477386719724734
grass_5pp_from_paved,10,Zheng He Towers,core,66,65,1,0.0,0.0,0.0,7,7,31.659611405414907,38.57340731925154,90.3989970259809,120.35956259760664,164.20110378423303,57.13933601644189
