experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
paved_albedo_035,1,Jade Gardens,refuge,15,20,-5,0.0,0.0,0.0,7,7,31.198735227079144,36.66199855815139,42.22147109834839,100.36883994288395,145.82870194075895,52.357923883851235
paved_albedo_035,2,Serendib Rise,refuge,16,17,-1,0.0,0.0,0.0,7,7,31.26326939913276,36.582662955754905,42.25010775485592,101.12241371158828,146.5072217829835,52.254233300863916
paved_albedo_035,3,Taman Melati,refuge,16,21,-5,0.0,0.0,0.0,7,7,31.203487482117506,36.71853095399543,42.62838437260946,100.93598115009002,146.6687741263703,52.223941587995434
paved_albedo_035,4,Kampong Lama,hotspot,88,103,-15,0.7358509147257486,0.756598480591236,-0.020747565865487427,3,3,31.840067063622715,38.84441199837023,142.05059852312212,134.14773759381953,141.44277451398662,56.264844447196275
paved_albedo_035,5,Dhobi Lines,hotspot,84,96,-12,0.7135595449066533,0.7267303878603549,-0.013170842953701634,4,4,31.82154136030712,38.78432323358077,142.80262680254071,134.43478081085945,142.41208857430743,56.195087011058604
paved_albedo_035,6,Lusitano Square,core,27,35,-8,0.16825774467202992,0.1875092010551888,-0.019251456383158894,6,6,31.486038104815627,37.4063460749054,76.93554657503795,116.83379428514374,145.72865263095514,55.6561036265699
paved_albedo_035,7,Mlima Moto,hotspot,115,126,-11,0.8314132036415075,0.8329958739496157,-0.0015826703081082139,2,2,31.964915172415257,39.84057350191132,147.91609643474575,135.45701450605978,147.90486824945862,55.55216335880439
paved_albedo_035,8,Victoria Exchange,core,46,55,-9,0.19739154745178272,0.2056614781991592,-0.008269930747376475,5,5,31.584801331153542,38.16510455412959,81.24119871704242,117.7719140444549,150.25211824578554,54.93579734008467
paved_albedo_035,9,Fuzhou Lanes,hotspot,194,211,-17,1.0,1.0,0.0,1,1,32.25921913864394,41.12584096875204,148.3420554623534,135.4045788133575,148.22797293623222,55.50174471067266
paved_albedo_035,10,Zheng He Towers,core,61,65,-4,0.0,0.0,0.0,7,7,31.664048888150578,38.38478613563604,84.37069940499389,118.54334547617127,153.48316511352155,54.265912088152795
