experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
trees_10pp_from_paved,1,Jade Gardens,refuge,78,20,58,0.0,0.0,0.0,7,7,31.450226986130275,39.71013552264401,50.15718996901818,107.34199264921664,166.26326465157112,57.88361501766089
trees_10pp_from_paved,2,Serendib Rise,refuge,36,17,19,0.0,0.0,0.0,7,7,31.34037970121875,37.93885272523068,50.34620540297455,107.7364802226626,166.2632646515711,57.300112010258545
trees_10pp_from_paved,3,Taman Melati,refuge,89,21,68,0.0,0.0,0.0,7,7,31.495257855826004,40.432598026691146,50.626519502489714,107.59978195991111,166.26326465157112,57.156496173494894
trees_10pp_from_paved,4,Kampong Lama,hotspot,265,103,162,0.7515793631454211,0.756598480591236,-0.005019117445814958,4,3,32.49033557679995,42.932460820296164,153.43447379514106,137.7698185761231,165.6576620600499,65.47377573893702
trees_10pp_from_paved,5,Dhobi Lines,hotspot,274,96,178,0.7522351918928004,0.7267303878603549,0.025504804032445483,3,4,32.550381917152,43.31170806589281,154.02939196783797,138.02212913182657,165.65766206004986,64.62654701053667
trees_10pp_from_paved,6,Lusitano Square,core,64,35,29,0.1557093877361657,0.1875092010551888,-0.031799813319023124,6,6,31.583309035397775,38.48267602952236,88.06182255862294,120.10273732851334,166.38938862250882,61.92162059116896
trees_10pp_from_paved,7,Mlima Moto,hotspot,446,126,320,0.928451042213506,0.8329958739496157,0.09545516826389033,2,2,33.72082607478548,49.34464117882403,157.90014343711076,138.88820929545042,165.6576620600499,59.88971537764
trees_10pp_from_paved,8,Victoria Exchange,core,196,55,141,0.23801013640592997,0.2056614781991592,0.03234865820677077,5,5,32.13666400519931,42.882037318419805,91.18969631390517,120.9175050201039,166.38938862250882,57.97897914429617
trees_10pp_from_paved,9,Fuzhou Lanes,hotspot,563,211,352,1.0,1.0,0.0,1,1,34.76199729436314,53.484555799952176,158.30211208991344,138.7795941387554,165.6576620600499,59.596361881532346
trees_10pp_from_paved,10,Zheng He Towers,core,109,65,44,0.0,0.0,0.0,7,7,31.73522582924644,40.21189830306786,93.29040478618977,121.60671443817328,166.38938862250882,55.189061253942185
