experiment,gridiv,name,type,dangerous_heat_hours,baseline_dangerous_heat_hours,delta_dangerous_heat_hours,risk_index,baseline_risk_index,delta_risk_index,risk_rank,baseline_risk_rank,t2_mean_c,t2_max_c,qh_mean_w_m2,qe_mean_w_m2,qn_mean_w_m2,qs_mean_w_m2
water_2pp_from_paved,1,Jade Gardens,refuge,20,20,0,0.0,0.0,0.0,7,7,31.22582854022882,36.909666828572284,47.355760867452744,104.05278619171642,165.24844133639,62.959427261545414
water_2pp_from_paved,2,Serendib Rise,refuge,17,17,0,0.0,0.0,0.0,7,7,31.28327497462158,36.81617042353342,47.22381901669425,104.76011591694474,165.24844133639,62.3840393870756
water_2pp_from_paved,3,Taman Melati,refuge,21,21,0,0.0,0.0,0.0,7,7,31.230679634159085,36.963517110444975,47.60327966155059,104.52487812206802,165.24844133639,62.23981653709598
water_2pp_from_paved,4,Kampong Lama,hotspot,103,103,0,0.756598480591236,0.756598480591236,0.0,3,3,31.86948942784523,39.332736602438054,149.8877643826565,135.28350164927355,164.6428387448688,70.49197876309
water_2pp_from_paved,5,Dhobi Lines,hotspot,96,96,0,0.7267303878603549,0.7267303878603549,0.0,4,4,31.849106988398475,39.26486863743524,150.45879272821495,135.53918132511615,164.6428387448688,69.66527074168899
water_2pp_from_paved,6,Lusitano Square,core,35,35,0,0.18750920105518884,0.1875092010551888,2.7755575615628914e-17,6,6,31.510452482422764,37.64779033821757,84.23315599137712,117.88231804812061,165.37456530732769,66.95588312362639
water_2pp_from_paved,7,Mlima Moto,hotspot,126,126,0,0.8329958739496157,0.8329958739496157,0.0,2,2,31.993586359924038,40.428164371098845,154.36872024939467,136.34675316512707,164.6428387448688,64.94777138049835
water_2pp_from_paved,8,Victoria Exchange,core,55,55,0,0.20566147819915923,0.2056614781991592,2.7755575615628914e-17,5,5,31.607949656681548,38.398959688555486,87.39311880880565,118.61298364730355,165.37456530732769,63.0652547070149
water_2pp_from_paved,9,Fuzhou Lanes,hotspot,211,211,0,1.0,1.0,0.0,1,1,32.299912962978794,41.754053990768874,154.70968166314026,136.27621679319904,164.6428387448688,64.67734633868078
water_2pp_from_paved,10,Zheng He Towers,core,64,65,-1,0.0,0.0,0.0,7,7,31.680850446139353,38.599486879343324,89.57150179738575,119.21882710900076,165.37456530732769,60.28102825673764
