gridiv,name,type,dangerous_heat_hours,population_day,hazard,exposure,vulnerability,risk_index,risk_rank
9,Fuzhou Lanes,hotspot,37,300.0,1.0,1.0,0.9720670391061452,1.0,1
7,Mlima Moto,hotspot,9,300.0,0.24324324324324326,1.0,1.0,0.6301561648745939,2
4,Kampong Lama,hotspot,6,300.0,0.16216216216216217,1.0,0.9497206703910615,0.5411068931925437,3
5,Dhobi Lines,hotspot,4,300.0,0.10810810810810811,1.0,0.9162011173184357,0.4670724904118396,4
1,Jade Gardens,refuge,0,80.0,0.0,0.0,0.324022346368715,0.0,5
2,Serendib Rise,refuge,0,80.0,0.0,0.0,0.2737430167597766,0.0,5
3,Taman Melati,refuge,0,80.0,0.0,0.0,0.3631284916201117,0.0,5
6,Lusitano Square,core,0,250.0,0.0,0.7727272727272727,0.08938547486033527,0.0,5
8,Victoria Exchange,core,0,250.0,0.0,0.7727272727272727,0.05586592178770954,0.0,5
10,Zheng He Towers,core,1,250.0,0.02702702702702703,0.7727272727272727,0.0,0.0,5
